Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
DVN(25179M103),DEVON ENERGY CORP NEW,10.00,09/29/2020,11/02/20,$87.04 ,$91.56 ,($4.52),-
,,,,Wash Sale,$0.00 ,($4.52),$4.52 ,-
DVN(25179M103),DEVON ENERGY CORP NEW,0.92,09/29/2020,11/02/20,$8.02 ,$8.44 ,($0.42),-
,,,,Wash Sale,$0.00 ,($0.42),$0.42 ,-
DVN(25179M103),DEVON ENERGY CORP NEW,5.00,10/01/20,11/02/20,$43.52 ,$45.18 ,($1.66),-
,,,,Wash Sale,$0.00 ,($1.66),$1.66 ,-
DVN(25179M103),DEVON ENERGY CORP NEW,5.00,10/01/20,11/02/20,$43.52 ,$45.18 ,($1.66),-
,,,,Wash Sale,$0.00 ,($1.66),$1.66 ,-
DVN(25179M103),DEVON ENERGY CORP NEW,1.08,10/16/2020,11/02/20,$9.38 ,$9.73 ,($0.35),-
,,,,Wash Sale,$0.00 ,($0.35),$0.35 ,-
DVN(25179M103),DEVON ENERGY CORP NEW,8.92,09/23/2020,11/02/20,$84.40 ,$81.70 ,$2.70 ,-
DVN(25179M103),DEVON ENERGY CORP NEW,24.08,10/16/2020,11/02/20,$227.78 ,$198.61 ,$29.17 ,-
DVN(25179M103),DEVON ENERGY CORP NEW,0.92,10/29/2020,11/02/20,$8.72 ,$7.27 ,$1.45 ,-
DVN(25179M103),DEVON ENERGY CORP NEW,0.08,10/29/2020,11/02/20,$0.73 ,$0.61 ,$0.12 ,-
DVN(25179M103),DEVON ENERGY CORP NEW,0.30,10/29/2020,11/02/20,$2.84 ,$2.38 ,$0.46 ,-
ENPH(29355A107),ENPHASE ENERGY INC COM USD0.00001,1.00,10/21/2020,11/04/20,$104.44 ,$105.58 ,($1.14),-
,,,,Wash Sale,$0.00 ,($0.74),$0.74 ,-
ENPH(29355A107),ENPHASE ENERGY INC COM USD0.00001,0.89,10/21/2020,11/04/20,$93.36 ,$94.41 ,($1.05),-
ENPH(29355A107),ENPHASE ENERGY INC COM USD0.00001,2.00,10/22/2020,11/04/20,$208.87 ,$190.37 ,$18.50 ,-
ENPH(29355A107),ENPHASE ENERGY INC COM USD0.00001,0.11,10/27/2020,11/04/20,$11.07 ,$10.58 ,$0.49 ,-
ENPH(29355A107),ENPHASE ENERGY INC COM USD0.00001,0.65,10/21/2020,11/04/20,$67.34 ,$65.10 ,$2.24 ,-
FB(30303M102),FACEBOOK INC-CLASS A,0.93,10/28/2020,11/04/20,$266.41 ,$249.91 ,$16.50 ,-
FB(30303M102),FACEBOOK INC-CLASS A,0.07,10/30/2020,11/04/20,$20.98 ,$19.10 ,$1.88 ,-
FB(30303M102),FACEBOOK INC-CLASS A,0.31,10/30/2020,11/04/20,$88.79 ,$80.85 ,$7.94 ,-
FTNT(34959E109),FORTINET INC COM USD0.001,1.00,11/03/20,11/04/20,$115.77 ,$111.35 ,$4.42 ,-
GDDY(380237107),GODADDY INC CL A,0.69,08/04/20,11/04/20,$54.88 ,$49.99 ,$4.89 ,-
GFL(36168Q104),GFL ENVIRONMENTAL INC. COM NPV SUB VTGSHS ISIN #CA36168Q1046 SEDOL #BKDT649,0.11,10/27/2020,11/04/20,$2.25 ,$2.23 ,$0.02 ,-
GFL(36168Q104),GFL ENVIRONMENTAL INC. COM NPV SUB VTGSHS ISIN #CA36168Q1046 SEDOL #BKDT649,6.00,10/27/2020,11/04/20,$123.69 ,$122.76 ,$0.93 ,-
GFL(36168Q104),GFL ENVIRONMENTAL INC. COM NPV SUB VTGSHS ISIN #CA36168Q1046 SEDOL #BKDT649,5.89,10/28/2020,11/04/20,$121.43 ,$116.29 ,$5.14 ,-
GFL(36168Q104),GFL ENVIRONMENTAL INC. COM NPV SUB VTGSHS ISIN #CA36168Q1046 SEDOL #BKDT649,0.11,10/28/2020,11/04/20,$2.24 ,$2.15 ,$0.09 ,-
GM(37045V100),GENERAL MTRS CO COM,1.00,06/12/20,11/04/20,$35.55 ,$28.29 ,$7.26 ,-
GNTX(371901109),GENTEX CORP,5.00,11/03/20,11/04/20,$147.95 ,$143.58 ,$4.37 ,-
GNTX(371901109),GENTEX CORP,0.22,11/03/20,11/04/20,$6.59 ,$6.41 ,$0.18 ,-
GOOG(02079K107),ALPHABET INC CAP STKCL C,0.20,10/28/2020,11/04/20,$346.33 ,$299.62 ,$46.71 ,-
GS(38141G104),GOLDMAN SACHS GROUP INC COM USD0.01,1.00,10/29/2020,11/04/20,$199.96 ,$189.42 ,$10.54 ,-
GS(38141G104),GOLDMAN SACHS GROUP INC COM USD0.01,0.06,10/29/2020,11/04/20,$10.98 ,$10.42 ,$0.56 ,-
HCAC(42589C104),HENNESSY CAP ACQUSTION CORP IV CLA COM,9.00,09/23/2020,11/04/20,$92.28 ,$103.86 ,($11.58),-
HCAC(42589C104),HENNESSY CAP ACQUSTION CORP IV CLA COM,4.00,10/05/20,11/04/20,$41.01 ,$43.52 ,($2.51),-
HCAC(42589C104),HENNESSY CAP ACQUSTION CORP IV CLA COM,4.00,10/05/20,11/04/20,$41.02 ,$42.86 ,($1.84),-
HLX(42330P107),HELIX ENERGY SOLUTIONS GROUP INC,41.00,09/29/2020,11/02/20,$108.65 ,$99.43 ,$9.22 ,-
HLX(42330P107),HELIX ENERGY SOLUTIONS GROUP INC,0.24,09/29/2020,11/02/20,$0.63 ,$0.57 ,$0.06 ,-
HLX(42330P107),HELIX ENERGY SOLUTIONS GROUP INC,44.76,10/01/20,11/02/20,$118.61 ,$103.85 ,$14.76 ,-
HLX(42330P107),HELIX ENERGY SOLUTIONS GROUP INC,0.24,10/01/20,11/02/20,$0.61 ,$0.55 ,$0.06 ,-
IAU(464285105),ISHARES GOLD TRUST ISHARES ISIN #US4642851053 SEDOL B0SF3S5,281.00,11/11/20,11/12/20,$5035.85 ,$4998.26 ,$37.59 ,-
